links,titles,pubdates,content,html_file_names
https://www.dwnews.com/%E5%85%A8%E7%90%83/60257988/%E6%BE%B3%E8%AE%AE%E5%91%98%E7%82%B9%E5%90%8D%E4%B8%AD%E5%85%B1%E4%BE%B5%E7%8A%AF%E6%96%B0%E7%96%86%E4%BA%BA%E6%9D%83%E6%8F%90%E6%A1%88%E6%8B%92%E8%BF%9B%E5%8F%A3%E5%BC%BA%E8%BF%AB%E5%8A%B3%E5%8A%A8%E4%BA%A7%E5%93%81%E8%8E%B7%E6%89%B9,澳议员点名中共侵犯新疆人权提案拒进口强迫劳动产品获批多维新闻,2021-08-24--00-11-15,该提案由独立参议员帕特里克（Rex Patrick）提出，他指出奴隶劳动令人憎恶，并直接点名中共是这种行为的主要发起者之一，对<b>维吾尔</b>族进行大规模剥削和压迫。,澳议员点名中共侵犯新疆人权提案拒进口强迫---2021-08-24--00-11-15.html
https://finance.sina.com.cn/tech/2021-08-24/doc-ikqcfncc4621358.shtml,新疆基本实现农村公路通村畅乡十四五规划再建286万公里新浪财经,2021-08-24--00-11-15,据8月19日新疆<b>维吾尔</b>自治区政府新闻办公室举行的新闻发布会消息，截至2020年年底，新疆农村公路总里程达14.68万公里（不含新疆生产建设兵团），以县城为中心、乡镇为&nbsp;...,新疆基本实现农村公路通村畅乡十四五规划再---2021-08-24--00-11-15.html
https://cn.linkedin.com/in/%E8%8B%B1%E7%94%B7-%E6%A2%85-6338711a6,永州职业技术学院梅英男领英,2021-08-23--21-05-37,梅英男. 学生- 永州职业技术学院. 永州职业技术学院. 中国新疆<b>维吾尔</b>自治区. 加入领英，建立联系 &middot; 举报此会员档案. 教育经历. 永州职业技术学院图片&nbsp;...,永州职业技术学院梅英男领英---2021-08-23--21-05-37.html
https://m.027art.com/henanzhuanke/HTML/10341204.html,郑州电力高等专科学校2021年新疆维吾尔自治区录取分数线零二七艺考,2021-08-23--19-23-45,郑州电力高等专科学校招生网于2021/8/23 19:11:59发布的《最新消息丨我校在新疆<b>维吾尔</b>自治区录取情况发布》的信息由YKAi高考数据引擎自动抓取提供。,郑州电力高等专科学校2021年新疆维吾尔---2021-08-23--19-23-45.html
https://www.gk932.net/gonggao/xinjiang/2021-08-22/25616.html,关于新疆维吾尔自治区2021年度面向社会公开考试录用公务员笔试延期有关事宜的公告老吴公考,2021-08-23--17-50-29,关于新疆<b>维吾尔</b>自治区2021年度面向社会公开考试录用公务员笔试延期有关事宜的公告各位考生：为认真贯彻自治区党委、政府关于新冠肺炎疫情防控工作有关精神，&nbsp;...,关于新疆维吾尔自治区2021年度面向社会---2021-08-23--17-50-29.html
http://tj.offcn.com/html/2021/08/336904.html,2021新疆维吾尔自治区公务员笔试延期有关事宜公告天津中公教育,2021-08-23--17-28-51,各位考生：为认真贯彻自治区党委、政府关于新冠肺炎疫情防控工作有关精神，根据当前国际国内疫情形势，经自治区公务员主管部门研究决定，原...,2021新疆维吾尔自治区公务员笔试延期有---2021-08-23--17-28-51.html
http://www.xj.gov.cn/info/10658/71443.htm,新疆多举措推进节能降碳新疆维吾尔自治区,2021-08-23--17-00-27,根据《新疆<b>维吾尔</b>自治区2021年节能工作要点》，自治区将积极推进结构调整、加强重点领域节能减排、提高绿色发展水平。 在推进结构调整方面，自治区将加快产业结构&nbsp;...,新疆多举措推进节能降碳新疆维吾尔自治区---2021-08-23--17-00-27.html
http://news.cjn.cn/sywh/202108/t3853078.htm,欧洲时报全文转发长江日报报道武汉新闻中心,2021-08-23--16-52-23,《<b>维吾尔</b>假新闻的终结》 法国丝路出版社（La Route de la Soie）2020年12月6日2020年12月6日，法国知名作家马克西姆·维瓦斯的新书《<b>维吾尔</b>假新闻的终结》问世。 维瓦斯曾两&nbsp;...,欧洲时报全文转发长江日报报道武汉新闻中心---2021-08-23--16-52-23.html
http://www.ccgp-xinjiang.gov.cn/ZcyAnnouncement/ZcyAnnouncement4/ZcyAnnouncement3004/Y9+8i+Ct249i6Dd7FsqKIA==.html,新疆维吾尔自治区职业病防治院PACS系统及内含医技预约模块升级项目的中标,2021-08-23--16-46-57,新疆诚成工程项目管理有限公司关于新疆<b>维吾尔</b>自治区第三人民医院（新疆<b>维吾尔</b>自治区职业病防治院）PACS系统及内含医技预约模块升级项目的中标(成交)结果公告.,新疆维吾尔自治区职业病防治院PACS系统---2021-08-23--16-46-57.html
https://www.rfa.org/mandarin/pinglun/tengbiao/tb-08162021102944.html,评论滕彪北京的人质外交能否惊醒国际社会下,2021-08-23--16-00-59,住在德国的世界<b>维吾尔</b>代表大会主席多尔昆-伊沙说，在新疆的弟弟胡斯塔尔最近被判处终身监禁，“这当然与我的活动有关”。 同样在今年，在新疆的<b>维吾尔</b>医生Gulshan Abbas&nbsp;...,评论滕彪北京的人质外交能否惊醒国际社会下---2021-08-23--16-00-59.html
https://www.nongjitong.com/news/2021/493589.html,新疆维吾尔自治区关于公示2021年农机购置补贴产品归档信息第一批的通知,2021-08-23--15-40-02,各相关企业：. 根据农业农村部办公厅、财政部办公厅《关于印发2021-2023年农业机械购置补贴实施指导意见的通知》(农办计财〔2021〕8号)、《新疆<b>维吾尔</b>自治区2021-2023&nbsp;...,新疆维吾尔自治区关于公示2021年农机购---2021-08-23--15-40-02.html
https://www.xjsgxh.com/h-nd-233.html,法院审级职能定位改革试点或将启动新疆维吾尔自治区私营个体企业协会,2021-08-23--15-16-46,"新疆<b>维吾尔</b>自治区私营个体企业协会,新疆自治区私营个体企业协会,新疆私个协会,乌鲁木齐私营个体企业协会,,新疆个体劳动者协会,新疆自治区个体劳动者协会,新疆私营企业&nbsp;...",法院审级职能定位改革试点或将启动新疆维吾---2021-08-23--15-16-46.html
http://www.legaldaily.com.cn/index/content/2021-08/23/content_8587254.htm,新疆司法厅召开深化全区司法行政改革工作推进会法制网,2021-08-23--13-18-45,法治日报全媒体记者潘从武. 8月22日，新疆<b>维吾尔</b>自治区司法厅党委理论学习中心组举行2021年第二十一次集体学习暨深化全区司法行政改革工作推进会，传达学习中央政法委&nbsp;...,新疆司法厅召开深化全区司法行政改革工作推---2021-08-23--13-18-45.html
http://www.legaldaily.com.cn/index/content/2021-08/24/content_8587294.htm,新疆召开深化全区司法行政改革工作推进会20210824法制网,2021-08-23--13-18-45,"8月22日,新疆<b>维吾尔</b>自治区司法厅党委理论学习中心组举行2021年第二十一次集体学习暨深化全区司法行政改革工作推进会。会议强调,聚焦人民群众对执法司法工作的新需求新&nbsp;...",新疆召开深化全区司法行政改革工作推进会2---2021-08-23--13-18-45.html
http://www.kashi.gov.cn/Item/52661.aspx,关于贯彻落实新疆维吾尔自治区非电网直供电价格政策的公告喀什地区,2021-08-23--13-14-09,关于贯彻落实新疆<b>维吾尔</b>自治区非电网直供电价格政策的公告. 来源：喀什地区发展和改革委员会喀什地区市场监督管理局 作者： 发布时间：2021年08月23日 点击数： 14.,关于贯彻落实新疆维吾尔自治区非电网直供电---2021-08-23--13-14-09.html
http://www.legaldaily.com.cn/index/content/2021-08/23/content_8587252.htm,新疆国家安全厅召开第二批队伍教育整顿动员部署会议法制网,2021-08-23--13-07-30,8月17日，新疆<b>维吾尔</b>自治区国家安全厅在国家安全部第二批队伍教育整顿动员会结束后，迅速召开第二批队伍教育整顿动员部署会议，认真落实中央政法委和国家安全部第二批&nbsp;...,新疆国家安全厅召开第二批队伍教育整顿动员---2021-08-23--13-07-30.html
https://wap.ynpxrz.com/n2194086c1735.aspx,2021年新疆维吾尔自治区考试录用公务员笔试延期公告易贤网,2021-08-23--12-14-13,关于新疆<b>维吾尔</b>自治区2021年度面向. 社会公开考试录用公务员笔试延期有关事宜的公告. 各位考生：. 为认真贯彻自治区党委、政府关于新冠肺炎疫情防控工作有关精神，根据&nbsp;...,2021年新疆维吾尔自治区考试录用公务员---2021-08-23--12-14-13.html
https://www.jianpincn.com/skwx_jp/Search.aspx?type=imgtab&KeyWords=%25e5%258d%2581%25e4%25b9%259d%25e4%25b8%2596%25e7%25ba%25aa%25e7%25bb%25b4%25e5%2590%25be%25e5%25b0%2594%25e6%2596%2587%25e7%258c%25ae&resourceType=all,图表中国减贫研究数据库,2021-08-23--11-50-30,新闻<b>维吾尔</b>自治区第三批自治区级非物质文化遗产代表作目录中的民俗类项目. 所属图书：中国非物质文化遗产保护发展报告（2013）出版时间：2013-11-01. 图表&nbsp;...,图表中国减贫研究数据库---2021-08-23--11-50-30.html
http://47.95.242.172/thesis/detail/2362283,新疆南部农村维吾尔族青年外出务工经商研究期刊网,2021-08-23--10-11-23,"摘要 南京大学华涛教授承担的国家社科基金项目&lt;东部城市中的新疆<b>维吾尔</b>族务工经商流动人口研究&gt;(项目批准号:03MZ009),已于近期结项,成果鉴定等级为良好.",新疆南部农村维吾尔族青年外出务工经商研究---2021-08-23--10-11-23.html
https://zhuanlan.zhihu.com/p/402124066,20212027年中国新疆维吾尔自治区数字经济行业市场深度分析及投资方向分析报告知乎专栏,2021-08-23--09-46-13,您若想对新疆<b>维吾尔</b>自治区数字经济产业有个系统的了解或者想投资新疆<b>维吾尔</b>自治区数字经济行业，本报告是您不可或缺的重要工具。 本研究报告数据主要采用国家统计数据，&nbsp;...,20212027年中国新疆维吾尔自治区数---2021-08-23--09-46-13.html
