links,titles,pubdates,content,html_file_names
http://med.china.com.cn/content/pid/300018/tid/1026,Nature吉林大学崔银秋团队破解百年谜t团揭示神秘中国干尸的意外起源,2021-10-31--15-49-17,20世纪初，中国<b>新疆</b>塔里木盆地发现了数百具4000年前的自然保存的干尸，并由此发现了其所属的小河文明。然而，一个世纪以来，这项考古发现仍然充满未解之谜。,Nature吉林大学崔银秋团队破解百年谜---2021-10-31--15-49-17.html
http://www.xjyl.gov.cn/info/1726/323821.htm,到2025年新疆集中带量采购药品将超过500个品种伊犁哈萨克自治州,2021-10-31--14-38-09,到2025年，<b>新疆</b>公立医药机构通过采购平台采购药品、医用耗材数量占比将分别达到90%、80%，自治区级以上集中带量采购药品500个品种以上、高值医用耗材5类以上&nbsp;...,到2025年新疆集中带量采购药品将超过5---2021-10-31--14-38-09.html
http://m.cnhubei.com/content/2021-10/31/content_14213952.html,未来一周鄂西南地区存在地质灾害风险荆楚网,2021-10-31--14-37-59,... 等地质灾害高易发区和部分中易发区，受降水影响，存在发生崩塌、滑坡、泥石流等突发性地质灾害的风险。 点赞0. 相关阅读. <b>新疆</b>出台条例推进平安<b>新疆</b>建设.,未来一周鄂西南地区存在地质灾害风险荆楚网---2021-10-31--14-37-59.html
http://www.xj.chinanews.com/dizhou/2021-10-31/detail-ihasizte3702364.shtml,印象柯坪柯小驼邀你来新疆吃馕,2021-10-31--13-57-28,<b>新疆</b>最好吃的是什么？ 是肥嫩羊肉伴着熏烤过的孜然胡椒的“馕坑肉”？ 是皮脆肉嫩、味鲜油香堪称西北生煎的“烤包子”？ 还是麻油飘香、鸡肉鲜嫩的“椒麻鸡”？,印象柯坪柯小驼邀你来新疆吃馕---2021-10-31--13-57-28.html
https://www.dwnews.com/%E5%85%A8%E7%90%83/60267184/%E5%B8%83%E6%9E%97%E8%82%AF%E7%AC%AC%E4%B8%80%E6%AC%A1%E5%9C%A8%E5%A3%B0%E6%98%8E%E4%B8%AD%E6%8F%90%E5%88%B0%E4%B8%AD%E7%BE%8E%E5%90%88%E4%BD%9C,布林肯第一次在声明中提到中美合作多维新闻,2021-10-31--12-57-35,最后，美方声明提到，中国一系列行为有损基于准则的国际秩序，与美国及其盟友所坚持的价值观和利益相悖，包括和人权、<b>新疆</b>、西藏、香港、东海、南海和台湾&nbsp;...,布林肯第一次在声明中提到中美合作多维新闻---2021-10-31--12-57-35.html
https://news.hangzhou.com.cn/gnxw/content/2021-10/31/content_8085213.htm,哈尔滨昨日确诊病例轨迹公布紧寻同乘密接者杭州网,2021-10-31--12-22-30,乘坐地铁信息：. 10月26日6：28乘车，从东北农业大学站至博物馆站换乘1号线前往<b>新疆</b>大街。6：&nbsp;...,哈尔滨昨日确诊病例轨迹公布紧寻同乘密接者---2021-10-31--12-22-30.html
http://news.cnwest.com/tianxia/a/2021/10/31/20061671.html,国家卫健委昨日新增确诊病例71例其中境外输入病例23例新闻频道,2021-10-31--12-22-15,截至10月30日24时，据31个省（自治区、直辖市）和<b>新疆</b>生产建设兵团报告，现有确诊病例814例（其中重症病例33例），累计治愈出院病例91701例，&nbsp;...,国家卫健委昨日新增确诊病例71例其中境外---2021-10-31--12-22-15.html
https://heilongjiang.dbw.cn/system/2021/10/31/058752675.shtml,哈尔滨市疾控中心紧急寻找同乘密接者东北网黑龙江,2021-10-31--12-09-40,乘坐地铁信息：. 10月26日6:28分乘车，从东北农业大学站至博物馆站换乘1号线前往<b>新疆</b>大街。6&nbsp;...,哈尔滨市疾控中心紧急寻找同乘密接者东北网---2021-10-31--12-09-40.html
https://sports.sina.com.cn/basketball/cba/2021-10-31/doc-iktzqtyu4568517.shtml,新疆浓眉哥骨裂第一阶段报销已离开诸暨赛区_CBA体育,2021-10-31--11-24-04,北京时间10月31日，据篮球媒体人卢鹏儒透露，<b>新疆</b>“浓眉哥”鲁吐布拉遭遇骨裂，将缺席第一阶段剩余比赛，已离开诸暨赛区返回乌鲁木齐康复。,新疆浓眉哥骨裂第一阶段报销已离开诸暨赛区---2021-10-31--11-24-04.html
https://xj.chinadaily.com.cn/a/202110/31/WS617e254fa3107be4979f5bae.html,南航在乌鲁木齐实现航班冬春换季首日平稳运行新疆,2021-10-31--10-55-48,针对航班时刻调整可能对旅客造成的影响，南航<b>新疆</b>分公司地服部在原航班保障基础上，加大了现场巡视、外围引导和登机口召集广播的力度，尽量高效率地满足旅客&nbsp;...,南航在乌鲁木齐实现航班冬春换季首日平稳运---2021-10-31--10-55-48.html
https://www.spp.gov.cn/spp/zdgz/202110/t20211031_534032.shtml,深入推进我为群众办实事实践活动新疆玛纳斯用好用活检察新媒体轻骑兵_中华人民共和国,2021-10-31--10-23-11,小小县城，父母远在他乡，留守儿童面临的成长之路，检察官的未检之路又在何方？微电影《一十六》为你讲述少年马冬冬重返校园的故事。” 近日，<b>新疆</b>维吾尔自治区玛&nbsp;...,深入推进我为群众办实事实践活动新疆玛纳斯---2021-10-31--10-23-11.html
http://www.xinyuan.gov.cn/info/1181/59576.htm,张相鹏成为新疆考古人过了三道坎,2021-10-31--10-03-15,2021年10月31日10:13 来源：天山网-<b>新疆</b>日报原创【文化视线】张相鹏（中）在奎玉克协海尔古城遗址考古工地工作（摄于8月30日）。□<b>新疆</b>文物考古研究所供图&nbsp;...,张相鹏成为新疆考古人过了三道坎---2021-10-31--10-03-15.html
http://www.xjcbcr.gov.cn/info/2157/82267.htm,新疆的棉花开了丨玛纳斯棉花丰收棉被热销,2021-10-31--09-45-51,今年玛纳斯县73万亩棉花喜获丰收，洁白的优质棉就地被加工成蓬松保暖的棉被。随着气温逐步降低，<b>新疆</b>棉被已成为电商平台中的爆款产品，呈现产销两旺好势头。,新疆的棉花开了丨玛纳斯棉花丰收棉被热销---2021-10-31--09-45-51.html
http://www.cneb.gov.cn/2021/10/31/ARTI1635670434394325.shtml,新疆阿勒泰地区发布暴雪蓝色预警_国家应急广播网,2021-10-31--09-22-22,<b>新疆</b>阿勒泰地区发布暴雪蓝色预警. 2021-10-31 16:53 来源：中国气象局网站. 阿勒泰地区气象台2021年10月31日16时45分发布暴雪蓝色预警信号：预计今日夜间～&nbsp;...,新疆阿勒泰地区发布暴雪蓝色预警_国家应急---2021-10-31--09-22-22.html
